Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Field Label Only Not Used in Data Dictionary,Field 1
desc_text_encourage,crf_3_clinical_history_and_exam,,descriptive,"<div class=""red"" style=""text-align:left;"">
If the person is HIV-infected but not taking ART, staff should encourage and facilitate the person’s access to services providing ART and other HIV care.
</div>",,,,,,,[art]='0',,,,,,,"<div class=""red"" style=""text-align:left;"">
If the person is HIV-infected but not taking ART, staff should encourage and facilitate the person’s access to services providing ART and other HIV care.
</div>",
art_yrs,crf_3_clinical_history_and_exam,,text,"[3.5] If on ART, how many years have they been on ART?",,"Give years to within one year or, if <1 year, write fractions of years, e.g. 0.5",,,,,[art]='1',y,,[3.5],,,,"If on ART, how many years have they been on ART?",3.5
art_type,crf_3_clinical_history_and_exam,,radio,[3.6] We do not need much detail regarding the particular ART regimen but it would be useful to know about major types.,"1, Tenofovir-based | 2, AZT (zidovudine)-based | 3, abacavir-based  | 4, dolutegravir-based | 5, Others {art_type_others:icons} | -97,Don't know ",,,,,,[art]='1',y,,[3.6],,,,We do not need much detail regarding the particular ART regimen but it would be useful to know about major types.,3.6
art_type_others,crf_3_clinical_history_and_exam,,text,"Specify, ART type",,,,,,,[art_type]='5',y,,,,,,"Specify, ART type",
diab,crf_3_clinical_history_and_exam,Conditions known prior to SAMPA recruitment,radio,[3.7] Does the person have diabetes as diagnosed by a doctor?,"0, No | 1, Yes, uncomplicated | 2, Yes with complications, e.g. blindness, peripheral neuropathy, amputation",,,,,,,y,,[3.7],,,@DEFAULT='[rec_diab:value]',Does the person have diabetes as diagnosed by a doctor?,3.7
diab_other,crf_3_clinical_history_and_exam,,text,Specify any complications,,,,,,,[diab]='2',y,,,,,,Specify any complications,
diag_drug,crf_3_clinical_history_and_exam,,checkbox,"[3.8] If the person has been diagnosed with diabetes, what medication are they taking for it?

Check any medication bottles the person brought.","0, None (includes advice, e.g., to lose weight) | 1, Insulin | 2, Metformin | 3, Herbal or over-the-counter medicines | 4, Others {diag_drug_others:icons}",,,,,,[diab]<>'0',y,,[3.8],,,"@NONEOFTHEABOVE=""0""  @DEFAULT='[rec_diab_drug:value]'","If the person has been diagnosed with diabetes, what medication are they taking for it?

Check any medication bottles the person brought.",3.8
diag_drug_others,crf_3_clinical_history_and_exam,,text,Specify other drugs,,,,,,,[diag_drug(4)]='1',y,,,,,,Specify other drugs,
diag_yn,crf_3_clinical_history_and_exam,,radio,"[3.9] Does the person have any other known diseases / conditions (pre-SAMPA), i.e. not including HIV or diabetes.","0, No | 1, Yes | -97,Don't know | -98,Refused ",,,,,,,y,,[3.9],,,,"Does the person have any other known diseases / conditions (pre-SAMPA), i.e. not including HIV or diabetes.",3.9
diag_1,crf_3_clinical_history_and_exam,,radio,"[3.10] First diagnosis, i.e. the main complaint; see SOP 3 for more details
","1, Myocardial infarction, heart attack | 2, Heart failure | 3, Peripheral vascular disease | 4, Stroke, TIA | 5, Lung disease {lung_dis1:icons} | 6, Connective tissue disease {contissue_dis1:icons} | 7, Peptic ulcer {peptic_ulcer1:icons}  | 8, Liver disease {liver_dis1:icons} | 9, Chronic kidney disease {kidney_dis1:icons}| 10, Cancer {cancer1:icons}| 11, hypertension |  12, Others, specify {diag1_spec:icons} | 13, None",,,,,,[diag_yn]='1',y,,[3.10],,,,"First diagnosis, i.e. the main complaint; see SOP 3 for more details
",3.1
diag1_spec,crf_3_clinical_history_and_exam,,text,"Others, specify",,,,,,,[diag_1]='12',,,,,,,"Others, specify",
diag_2,crf_3_clinical_history_and_exam,,radio,[3.11] Second diagnosis,"1, Myocardial infarction, heart attack | 2, Heart failure | 3, Peripheral vascular disease | 4, Stroke, TIA | 5, Lung disease {lung_dis2:icons} | 6, Connective tissue disease {contissue_dis2:icons} | 7, Peptic ulcer {peptic_ulcer2:icons}  | 8, Liver disease {liver_dis2:icons} | 9, Chronic kidney disease {kidney_dis2:icons}| 10, Cancer {cancer2:icons}| 11, hypertension | 12, Others, specify {diag2_spec:icons} | 13, None",,,,,,[diag_yn]='1',y,,[3.11],,,,Second diagnosis,3.11
diag2_spec,crf_3_clinical_history_and_exam,,text,"Others, specify",,,,,,,[diag_2]='12',,,,,,,"Others, specify",
diag_3,crf_3_clinical_history_and_exam,,radio,[3.12] Third diagnosis,"1, Myocardial infarction, heart attack | 2, Heart failure | 3, Peripheral vascular disease | 4, Stroke, TIA | 5, Lung disease {lung_dis3:icons} | 6, Connective tissue disease {contissue_dis3:icons} | 7, Peptic ulcer {peptic_ulcer3:icons}  | 8, Liver disease {liver_dis3:icons} | 9, Chronic kidney disease {kidney_dis3:icons}| 10, Cancer {cancer3:icons}| 11, hypertension | 12, Others, specify {diag3_spec:icons} | 13, None",,,,,,[diag_yn]='1',y,,[3.12],,,,Third diagnosis,3.12
diag3_spec,crf_3_clinical_history_and_exam,,text,"Others, specify",,,,,,,[diag_3]='12',,,,,,,"Others, specify",
diag_4,crf_3_clinical_history_and_exam,,radio,[3.13] Fourth diagnosis,"1, Myocardial infarction, heart attack | 2, Heart failure | 3, Peripheral vascular disease | 4, Stroke, TIA | 5, Lung disease {lung_dis4:icons} | 6, Connective tissue disease {contissue_dis4:icons} | 7, Peptic ulcer {peptic_ulcer4:icons}  | 8, Liver disease {liver_dis4:icons} | 9, Chronic kidney disease {kidney_dis4:icons}| 10, Cancer {cancer4:icons}| 11, hypertension | 12, Others, specify {diag4_spec:icons} | 13, None",,,,,,[diag_yn]='1',y,,[3.13],,,,Fourth diagnosis,3.13
diag4_spec,crf_3_clinical_history_and_exam,,text,"Others, specify",,,,,,,[diag_4]='12',,,,,,,"Others, specify",
lung_dis1,crf_3_clinical_history_and_exam,,radio,Lung Disease,"1, COPD | 2, asthma | 3, Tuberculosis",,,,,,[diag_1]='5',,,,,,,Lung Disease,
contissue_dis1,crf_3_clinical_history_and_exam,,radio,Connective Tissue Disease,"1,lupus | 2,fibromyalgia | 3,rheumatoid disease | 4, others  {contissue_dis1_spec:icons}",,,,,,[diag_1]='6',,,,,,,Connective Tissue Disease,
contissue_dis1_spec,crf_3_clinical_history_and_exam,,text,"Others, specify",,,,,,,[contissue_dis1]='4',,,,,,,"Others, specify",
peptic_ulcer1,crf_3_clinical_history_and_exam,,radio,Peptic Ulcer,"1,history of treatment for ulcer disease | 2, history of ulcer bleeding | 3, ulcer confirmed by endoscopy ",,,,,,[diag_1]='7',,,,,,,Peptic Ulcer,
liver_dis1,crf_3_clinical_history_and_exam,,radio,Liver Disease,"1,mild | 2, moderate | 3, severe | 4, schistosomiasis with varices ",,,,,,[diag_1]='8',,,,,,,Liver Disease,
kidney_dis1,crf_3_clinical_history_and_exam,,radio,Chronic Kidney Disease,"1, yes but no dialysis | 2, dialysis | 3, kidney transplant",,,,,,[diag_1]='9',,,,,,,Chronic Kidney Disease,
cancer1,crf_3_clinical_history_and_exam,,radio,Cancer,"1, solid tumour | 2, metastatic | 3, blood cancer",,,,,,[diag_1]='10',,,,,,,Cancer,
lung_dis2,crf_3_clinical_history_and_exam,,radio,Lung Disease,"1, COPD | 2, asthma | 3, Tuberculosis",,,,,,[diag_2]='5',,,,,,,Lung Disease,
contissue_dis2,crf_3_clinical_history_and_exam,,radio,Connective Tissue Disease,"1,lupus | 2,fibromyalgia | 3,rheumatoid disease | 4, others  {contissue_dis2_spec:icons}",,,,,,[diag_2]='6',,,,,,,Connective Tissue Disease,
contissue_dis2_spec,crf_3_clinical_history_and_exam,,text,"Others, specify",,,,,,,[contissue_dis2]='4',,,,,,,"Others, specify",
peptic_ulcer2,crf_3_clinical_history_and_exam,,radio,Peptic Ulcer,"1,history of treatment for ulcer disease | 2, history of ulcer bleeding | 3, ulcer confirmed by endoscopy ",,,,,,[diag_2]='7',,,,,,,Peptic Ulcer,
liver_dis2,crf_3_clinical_history_and_exam,,radio,Liver Disease,"1,mild | 2, moderate | 3, severe | 4, schistosomiasis with varices ",,,,,,[diag_2]='8',,,,,,,Liver Disease,
kidney_dis2,crf_3_clinical_history_and_exam,,radio,Chronic Kidney Disease,"1, yes but no dialysis | 2, dialysis | 3, kidney transplant",,,,,,[diag_2]='9',,,,,,,Chronic Kidney Disease,
cancer2,crf_3_clinical_history_and_exam,,radio,Cancer,"1, solid tumour | 2, metastatic | 3, blood cancer",,,,,,[diag_2]='10',,,,,,,Cancer,
lung_dis3,crf_3_clinical_history_and_exam,,radio,Lung Disease,"1, COPD | 2, asthma | 3, Tuberculosis",,,,,,[diag_3]='5',,,,,,,Lung Disease,
contissue_dis3,crf_3_clinical_history_and_exam,,radio,Connective Tissue Disease,"1,lupus | 2,fibromyalgia | 3,rheumatoid disease | 4, others  {contissue_dis3_spec:icons}",,,,,,[diag_3]='6',,,,,,,Connective Tissue Disease,
contissue_dis3_spec,crf_3_clinical_history_and_exam,,text,"Others, specify",,,,,,,[contissue_dis3]='4',,,,,,,"Others, specify",
peptic_ulcer3,crf_3_clinical_history_and_exam,,radio,Peptic Ulcer,"1,history of treatment for ulcer disease | 2, history of ulcer bleeding | 3, ulcer confirmed by endoscopy ",,,,,,[diag_3]='7',,,,,,,Peptic Ulcer,
liver_dis3,crf_3_clinical_history_and_exam,,radio,Liver Disease,"1,mild | 2, moderate | 3, severe | 4, schistosomiasis with varices ",,,,,,[diag_3]='8',,,,,,,Liver Disease,
kidney_dis3,crf_3_clinical_history_and_exam,,radio,Chronic Kidney Disease,"1, yes but no dialysis | 2, dialysis | 3, kidney transplant",,,,,,[diag_3]='9',,,,,,,Chronic Kidney Disease,
cancer3,crf_3_clinical_history_and_exam,,radio,Cancer,"1, solid tumour | 2, metastatic | 3, blood cancer",,,,,,[diag_3]='10',,,,,,,Cancer,
lung_dis4,crf_3_clinical_history_and_exam,,radio,Lung Disease,"1, COPD | 2, asthma | 3, Tuberculosis",,,,,,[diag_4]='5',,,,,,,Lung Disease,
contissue_dis4,crf_3_clinical_history_and_exam,,radio,Connective Tissue Disease,"1,lupus | 2,fibromyalgia | 3,rheumatoid disease | 4, others  {contissue_dis4_spec:icons}",,,,,,[diag_4]='6',,,,,,,Connective Tissue Disease,
contissue_dis4_spec,crf_3_clinical_history_and_exam,,text,"Others, specify",,,,,,,[contissue_dis4]='4',,,,,,,"Others, specify",
peptic_ulcer4,crf_3_clinical_history_and_exam,,radio,Peptic Ulcer,"1,history of treatment for ulcer disease | 2, history of ulcer bleeding | 3, ulcer confirmed by endoscopy ",,,,,,[diag_4]='7',,,,,,,Peptic Ulcer,
liver_dis4,crf_3_clinical_history_and_exam,,radio,Liver Disease,"1,mild | 2, moderate | 3, severe | 4, schistosomiasis with varices ",,,,,,[diag_4]='8',,,,,,,Liver Disease,
kidney_dis4,crf_3_clinical_history_and_exam,,radio,Chronic Kidney Disease,"1, yes but no dialysis | 2, dialysis | 3, kidney transplant",,,,,,[diag_4]='9',,,,,,,Chronic Kidney Disease,
cancer4,crf_3_clinical_history_and_exam,,radio,Cancer,"1, solid tumour | 2, metastatic | 3, blood cancer",,,,,,[diag_4]='10',,,,,,,Cancer,
hosp_freq,crf_3_clinical_history_and_exam,,radio,[3.14] How many times have they been admitted overnight in the last three years?,"1, 0 | 2, 1-2 times | 3, 3-4 times | 4,  5 times or more | -97,Don't know | -98,Refused 
",,,,,,[diag_yn]='1',y,,[3.14],,,,How many times have they been admitted overnight in the last three years?,3.14
hosp_diag,crf_3_clinical_history_and_exam,,dropdown,[3.15] What were they in hospital for the most recent time they were there?,"1, HIV | 2, Tuberculosis (TB) | 3, Hypertension | 4, Asthma | 5, Diabetes | 6, Heart disease | 7, Kidney disease | 8, Cancer  | 9, Eye disease | 10, Helminth/schistosomiasis | 11, Malaria  | 12, Respiratory infections | 13, Fungal infections | 14, Don’t know | 15, Others {hosp_diag_others:icons} | -97,Don't know | -98,Refused ",,,,,,[hosp_freq]<>'1' and [diag_yn]='1',y,,[3.15],,,,What were they in hospital for the most recent time they were there?,3.15
hosp_diag_others,crf_3_clinical_history_and_exam,,text,Specify other,,,,,,,[hosp_diag]='15',y,,,,,,Specify other,
med,crf_3_clinical_history_and_exam,,radio,[3.16] Are they currently (within past 4 weeks) on any medication? ,"0, No | 1, Yes | -97,Don't know | -98,Refused",,,,,,[diag_yn]='1',y,,[3.16],,,,Are they currently (within past 4 weeks) on any medication? ,3.16
med_type,crf_3_clinical_history_and_exam,,checkbox,"[3.17] What type of medications do they take?

Do not include ART or diabetes medication since these are above. More than one other different medication can be listed.","1, Tuberculosis medication | 2, Medications for other infections  | 3, Statins | 4, Blood pressure medication | 5, Others {med_type_others:icons} | -97,Don't know | -98,Refused ",,,,,,[med]='1',y,,[3.17],,,"@NONEOFTHEABOVE=""-97,-98,-99,-100,-101,-102""","What type of medications do they take?

Do not include ART or diabetes medication since these are above. More than one other different medication can be listed.",3.17
med_type_others,crf_3_clinical_history_and_exam,,text,Specify other,,,,,,,[med_type(5)]='1',y,,,,,,Specify other,
thirst,crf_3_clinical_history_and_exam,"Recent morbidity and medical exam
Has the person had in the past week any of these symptoms possibly related to diabetes?",radio,Thirst,"0, No | 1, Yes",,,,,,,y,,,symptoms_diag,,,Thirst,
polyuria,crf_3_clinical_history_and_exam,,radio,Polyuria,"0, No | 1, Yes",,,,,,,y,,,symptoms_diag,,,Polyuria,
fatigue,crf_3_clinical_history_and_exam,,radio,Fatigue,"0, No | 1, Yes",,,,,,,y,,,symptoms_diag,,,Fatigue,
polydipsia,crf_3_clinical_history_and_exam,,radio,Polydipsia,"0, No | 1, Yes",,,,,,,y,,,symptoms_diag,,,Polydipsia,
blurred_vision,crf_3_clinical_history_and_exam,,radio,Blurred vision,"0, No | 1, Yes",,,,,,,y,,,symptoms_diag,,,Blurred vision,
numbness,crf_3_clinical_history_and_exam,,radio,Numbness or tingling in extremities,"0, No | 1, Yes",,,,,,,y,,,symptoms_diag,,,Numbness or tingling in extremities,
other_symptoms,crf_3_clinical_history_and_exam,,checkbox,[3.19] Has the person in the past week had any of the following other symptoms? Up to 4 codes are allowed,"1,Extreme tiredness | 2,Shortness of breath | 3,Skin rash or itching | 4,Cough | 5,Chest pain | 6,Irregular heartbeat | 7,Fever | 8,Pain on swallowing | 9,Abdominal pain | 10,Nausea | 11,Vomiting | 12,Diarrhea | 13,Headache | 14,Visual changes | 15,Painful micturition | 16,Swollen ankles | 17,Other {symptoms_others:icons} | 18, None",,,,,,,y,,[3.19],,,"@MAXCHECKED=4 @NONEOFTHEABOVE=""18, -97,-98,-99,-100,-101,-102""",Has the person in the past week had any of the following other symptoms? Up to 4 codes are allowed,3.19
symptoms_others,crf_3_clinical_history_and_exam,,text,Specify other,,,,,,,[other_symptoms(17)]='1',y,,,,,,Specify other,
med_exam,crf_3_clinical_history_and_exam,,checkbox,[3.20] Results of medical exam. Indicate up to 4 of the following systems with identified medical problems.,"1,head, eye, ear, nose, throat | 2,skin and hair | 3,cardiac | 4,chest | 5,abdomen | 6,neurological | 7,extremities | 8, none",,,,,,,y,,[3.20],,,"@MAXCHECKED=4 @NONEOFTHEABOVE=""-97,-98,-99,-100,-101,-102""",Results of medical exam. Indicate up to 4 of the following systems with identified medical problems.,3.2
clin_summary,crf_3_clinical_history_and_exam,,radio,"[3.21] This refers to the overall current health of the participant as determined from both recent morbidity and clinical exam, i.e. 3.18-3.20.","1, Generally well | 2, Minor, self-limiting complaints not requiring treatment  | 3, Minor complaints requiring over-the-counter treatments, e.g. painkillers | 4, Moderate conditions requiring referral to local services for further care | 5, Serious conditions requiring specialist care",,,,,,,y,,[3.21],,,,"This refers to the overall current health of the participant as determined from both recent morbidity and clinical exam, i.e. 3.18-3.20.",3.21
exam_by,crf_3_clinical_history_and_exam,,text,Examined By,,,,,,,,,,,,,{name of clinician},Examined By,3.22
sig_exam,crf_3_clinical_history_and_exam,,file,Signature,,,signature,,,,,,,,,,,Signature,
sig_exam_upload,crf_3_clinical_history_and_exam,,file,Upload MD signature,,,,,,,,,,,,,,Upload MD signature,
personnel10,crf_10_referral,,text,REDCap ID of Data Entry Personnel,,,,,,,,,,,,,@USERNAME @READONLY ,REDCap ID of Data Entry Personnel,
timestamp10,crf_10_referral,,text,Date of Data Entry,,,,,,,,,,,,,@NOW @HIDDEN,Date of Data Entry,
desc_text_crf10,crf_10_referral,,descriptive,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",,,,,,,,,,,,,,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",
clinic_date_referral,crf_10_referral,,text,[10.1] Date of Clinic Visit [Participant was seen by the Doctor],,,date_dmy,,,,,,,[10.1],,,,Date of Clinic Visit [Participant was seen by the Doctor],10.1
refer_reason,crf_10_referral,,radio,[10.2] There are several routes by which some participant may need to be assessed for referral to a specialist.,"1,Findings from main clinic visit | 2,Diagnosed with diabetes or pre-diabetes on both 1st and 2nd OGTT | 3,Abnormalities seen on ultrasound or CT scan | 4, Low fecal elastase ",,,,,,,,,[10.2],,,,There are several routes by which some participant may need to be assessed for referral to a specialist.,10.2
radiol_refer,crf_10_referral,,radio,[10.3] What specialist does the radiologist or site clinician think the participant should be referred to?,"1,Diabetes care| 2,Gastroenterology | 3,Liver specialist | 4, Oncology | 5, Kidney specialist  | 6, Others {radiol_refer_others}",,,,,,[refer_reason]='3',,,[10.3],,,,What specialist does the radiologist or site clinician think the participant should be referred to?,10.3
radiol_refer_others,crf_10_referral,,text,"Others, specify",,,,,,,[radiol_refer]='6',,,,,,,"Others, specify",
elastase_level,crf_10_referral,,radio,[10.4] Was the fecal elastase in the low (100-200 ug/g) or very low category (<100 ug/g)?,"1, Low | 2, Very low",,,,,,[refer_reason]='4',,,[10.4],,,,Was the fecal elastase in the low (100-200 ug/g) or very low category (<100 ug/g)?,10.4
fecal_fat,crf_10_referral,,radio,[10.5] Did the lab technician report seeing fat in the feces?,"0, No | 1, Yes",,,,,,[refer_reason]='4',,,[10.5],,,,Did the lab technician report seeing fat in the feces?,10.5
elastase_refer,crf_10_referral,,radio,"[10.6] <p>[Did the participant report any of the following in either CRF 3 or in the telephone call or meeting when followed up for the abnormal elastase result:</p> <ul> <li><span style=""font-weight: normal;"">Chronic abdominal pain</span></li> <li><span style=""font-weight: normal;"">Chronic diarrhea</span></li> <li><span style=""font-weight: normal;"">Inability to stop losing weight</span></li> </ul>","0, No | 1, Yes",,,,,,[refer_reason]='4',,,[10.6],,,,"<p>[Did the participant report any of the following in either CRF 3 or in the telephone call or meeting when followed up for the abnormal elastase result:</p> <ul> <li><span style=""font-weight: normal;"">Chronic abdominal pain</span></li> <li><span style=""font-weight: normal;"">Chronic diarrhea</span></li> <li><span style=""font-weight: normal;"">Inability to stop losing weight</span></li> </ul>",10.6
